paperID,studyID,publicationYear,randomizedControlledStudy,variableID,nFemale,nMale,nGenderReported,journal,doiPublication,locationWhereConducted,latitudeUniversity,country,h5indexGSJournalMarch2016,citationsGSMarch2016,firstDatabaseHit,predictedDirection,useForBiasTest,useForMeta,reportedOverallN,reportedOverallNElisa,focalGroupComparison,linkToBivariateCorrelations,f,fBastien,logRegB,logRegBBastien,b,bBastien,t,tBastien,r,rBill,chisq,chisqBill,beta,betaBill,waldchisq,waldchisqBill,df1,df1Elisa,df2,df2Elisa,nWarm,nCold,nControl,nInt2,nInt3,nInt4,nInt5,mWarm,mCold,mControl,sdWarm,sdCold,sdControl,nItems,sampleType,pReported,pReportedBill,design,activePassiveControl,dReported,dReportedElisa,etaCarréElisa,published,effectTypeNeitherCompensatoryPrimingBoth,physicalTemperatureManipulation,physicalTemperatureManipulationElisa,physicalTemperatureManipulationBill,physicalTemperatureManipulationBastien,visualVerbalTemperaturePrime,visualVerbalTemperaturePrimeElisa,visualVerbalTemperaturePrimeBill,visualVerbalTemperaturePrimeBastien,outsideTemperature,outsideTemperatureElisa,outsideTemperatureBill,outsideTemperatureBastien,temperatureEstimate,temperatureEstimateElisa,temperatureEstimateBill,temperatureEstimateBastien,subjectiveWarmthJudgment,subjectiveWarmthJudgmentElisa,subjectiveWarmthJudgmentBill,subjectiveWarmthJudgmentBastien,coreTemperatureMeasurement,coreTemperatureMeasurementElisa,coreTemperatureMeasurementBill,coreTemperatureMeasurementBastien,skinTemperatureMeasurement,skinTemperatureMeasurementElisa,skinTemperatureMeasurementBill,skinTemperatureMeasurementBastien,skinLocation,moderatedEffect,moderatedEffectElisa,designFeaturesPrimingCompensatoryElisa,designFeaturesPrimingCompensatoryBill,designFeaturesPrimingCompensatoryBastien,categoryEmotion,categoryEmotionElisa,categoryEmotionBill,categoryEmotionBastien,categoryInterpersonal,categoryInterpersonalElisa,categoryInterpersonalBill,categoryInterpersonalBastien,categoryPersonPerception,categoryPersonPerceptionElisa,categoryPersonPerceptionBill,categoryPersonPerceptionBastien,categoryGroupProcesses,categoryGroupProcessesElisa,categoryGroupProcessesBill,categoryGroupProcessesBastien,categoryRobotics,categoryRoboticsElisa,categoryRoboticsBill,categoryRoboticsBastien,categoryMoralJudgment,categoryMoralJudgmentElisa,categoryMoralJudgmentBill,categoryMoralJudgmentBastien,categorySelfRegulation,categorySelfRegulationElisa,categorySelfRegulationBill,categorySelfRegulationBastien,categoryCognitiveProcesses,categoryCognitiveProcessesElisa,categoryCognitiveProcessesBill,categoryCognitiveProcessesBastien,categoryJudgmentAndDecisionMaking,categoryJudgmentAndDecisionMakingElisa,categoryJudgmentAndDecisionMakingBill,categoryJudgmentAndDecisionMakingBastien,categoryNeuralMechanisms,categoryNeuralMechanismsElisa,categoryNeuralMechanismsBill,categoryNeuralMechanismsBastien,positiveNegativeAffect,moderationAttachment,attachmentMeasure,socialThermoregulationAttachment,sourceTargetDirectionalityElisa,sourceTargetDirectionalityBill,sourceTargetDirectionalityBastien,nvTestsAwareness,nvLackIntention,nvEfficiencyBehavior,nvLackControl,vTestsAwareness,vLackIntention,vEfficiencyBehavior,vLackControl,testsInnateness,ethnicityReported
3,1,2012,Y,3,,,,,,Lisbon University Institute,38.74643,Portugal,,13,Google Scholar citing W&B,1,Yes,Yes,,19,,,8.49,8.49,,,,,,,,,,,,,,,1,1,17,17,,,,,,,,4.22,3.61,,,,,,,,,Between,,emailed author,0.93,,Y,2,Y,0,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,,N,0,0,0,0,N,0,0,0,N,0,0,0,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
3,1,2012,Y,2,,,,,,Lisbon University Institute,38.74643,Portugal,,13,Google Scholar citing W&B,1,Yes,Yes,,19,,,9.36,9.36,,,,,,,,,,,,,,,1,1,17,17,,,,,,,,4.67,3.55,,,,,,,,,Between,,emailed author,1.5,,Y,2,Y,0,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,,N,0,0,0,0,N,0,0,0,N,0,0,0,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
4,2,unpub,Y,1,22,22,0,,,National University Singapore,1.297134,Singapore,,0,Google Scholar citing W&B,1,Yes,Yes,40,40,,,0.87,0.87,,,,,,,,,,,,,,,1,1,38,38,20,20,,,,,,0.30,0.05,,0.92,0.76,,,student,,,Between,,0.3,0.3,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,1,1,,0,0,0,,0,1,1,2,,0,0,0,0,,,0,0,,,1,1,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,N,,,,,1,1,,0,0,,0,0,,0,0,
4,2,unpub,Y,2,22,22,0,,,National University Singapore,1.297134,Singapore,,0,Google Scholar citing W&B,1,Yes,Yes,,40,,,2.02,2.02,,,,,,,,,,,,,,,1,1,38,38,20,20,,,,,,0.04,-0.25,,0.28,0.85,,,student,0.16,,Between,,0.46,0.46,,N,2,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,Y,1,1,1,2,N,0,0,0,0,N,0,0,0,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,,,1,1,1,0,0,0,0,0,0,0,0,0,
5,4,2015,Y,1,100,0,0,Cognition,10.1016/j.cognition.2015.06.001,The Hebrew University of Jerusalem,31.797243,Israel,61,1,Google Scholar citing W&B,1,Yes,No,100,100,interaction,,,,,,,,3.01,3.01,,,,,,,,,,1,96,96,50,50,,,,,,4.45,4.04,,0.7,0.66,,5,student,< .01,<.01,Between,,0.61,0.6,,Y,2,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,,N,0,0,0,0,N,0,0,0,N,0,0,0,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,,,0,0,0,1,0,0,0,0,0,0,0,0,
5,4,2015,Y,1,100,0,0,Cognition,10.1016/j.cognition.2015.06.001,The Hebrew University of Jerusalem,31.797243,Israel,61,1,Google Scholar citing W&B,1,Yes,No,,100,interaction,,,,,,,,1.47,1.47,,,,,,,,,,1,96,96,50,50,,,,,,4.11,4.31,,0.65,0.71,,5,student,0.15,0.15,Between,,0.29,0.29,,Y,2,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,,N,0,0,0,0,N,0,0,0,N,0,0,0,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,,,0,0,0,1,0,0,0,0,0,0,0,0,
6,1,unpub,Y,1,32,14,0,UC Berkeley Electronic Thesis and Dissertations ,,UC Berkeley,37.872342,USA,,0,PsycInfo,1,Yes,Yes,46,46,,,7.82,7.82,,,,,,,,,,,,,,,1,1,30,44,24,22,,,,,,0.28,0.53,,0.32,0.29,,,student,< .01,<.01,Between,,1.02,0.84,,N,2,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,,N,0,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,,,0,0,0,1,0,0,0,0,0,0,0,0,
6,2,unpub,Y,1,65,25,0,UC Berkeley Electronic Thesis and Dissertations ,,UC Berkeley,37.872342,USA,,0,PsycInfo,1,Yes,Yes,90,90,(compared warm vs. cold),,0.57,0.27,,,,,,,,,,,,,,,1,2,56,87,32,26,,,,,,33.2,7.53,,165.73,99.15,,,student,0.49,0.49,Between,,OMNIBUS,0.16,,N,2,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,,N,0,0,0,0,N,0,0,0,N,0,0,1,N,0,0,0,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,,,0,0,0,1,0,0,0,0,0,0,0,0,
6,3,unpub,Y,1a,66,47,0,UC Berkeley Electronic Thesis and Dissertations ,,UC Berkeley,37.872342,USA,,0,PsycInfo,,No,No,113,113,,,,,,,,,,,,,,,,,,,,,,,49,32,32,,,,,,,,,,,,student,< .05,,Between,,MODERATION,,,N,2,Y,1,,,N,0,,,N,0,,,N,0,,,N,0,,,N,0,,,N,0,,,,Y,1,0,,,N,0,,,N,0,,,Y,1,,,Y,1,,,N,0,,,Y,1,,,N,0,,,N,0,,,N,0,,,N,0,,,,0,,,0,,,0,,,0,,,0,,,
6,3,unpub,Y,1b,66,47,0,UC Berkeley Electronic Thesis and Dissertations ,,UC Berkeley,37.872342,USA,,0,PsycInfo,,No,No,113,113,,,,,,,,,,,,,,,,,,,,,,,49,32,32,,,,,,,,,,,,student,< .05,,Between,,MODERATION,,,N,2,Y,1,,,N,0,,,N,0,,,N,0,,,N,0,,,N,0,,,N,0,,,,Y,1,0,,,N,0,,,N,0,,,Y,1,,,Y,1,,,N,0,,,Y,1,,,N,0,,,N,0,,,N,0,,,N,0,,,,0,,,0,,,0,,,0,,,0,,,
7,6,2014,Y,,15,10,,ACM Transactions on Interactive Intelligent Systems ,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,unpub,Y,,159,59,,,,,,,,,,,No,No,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,2011,Y,1,28,30,0,Journal of Experimental Social Psychology,10.1016/j.jesp.2011.03.022,University of Cologne,51.039846,Germany,50,18,Google Scholar citing W&B,1,Yes,Yes,58,58,,,,,,,,,3.22,3.22,,,,,,,,,,,56,56,,,,,,,,3.47,2.83,,0.77,0.74,,,student,0.002,0.002,Between,,WILL RECEIVE LATER,0.85,,Y,2,N,0,0,0,N,0,0,0,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,,N,0,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
9,2,2011,Y,1,0,55,0,Journal of Experimental Social Psychology,10.1016/j.jesp.2011.03.022,University of Cologne,51.039846,Germany,50,18,Google Scholar citing W&B,1,Yes,No,55,55,interaction,,4.69,4.69,,,,,,,,,,,,,,,1,1,51,51,,,,,,,,,,,,,,5,student,0.035,0.035,Between,,WILL RECEIVE LATER,0.59,,Y,2,N,0,0,0,N,0,0,0,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,,Y,1,0,0,0,N,0,0,0,Y,1,1,0,Y,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
9,3,2011,Y,1,0,37,0,Journal of Experimental Social Psychology,10.1016/j.jesp.2011.03.022,University of Cologne,51.039846,Germany,50,18,Google Scholar citing W&B,1,Yes,No,41,38,interaction,,4.65,4.65,,,,,,,,,,,,,,,1,1,33,33,,,,,,,,,,,,,,5,student,0.039,0.039,Between,,WILL RECEIVE LATER,0.73,,Y,2,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,,Y,1,0,0,0,N,0,0,0,Y,1,1,1,Y,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
10,1,2014,Y,1,202,58,0,Archives of Scientific Psychology ,10.1037/arc0000007,Michigan State University,42.721106,USA,,2,Google Scholar citing W&B,-1,Yes,Yes,260,260,,,,,,,,,-0.006,-0.006,,,,,,,,,,1,258,258,123,137,,,,,,2.1,2.11,,0.6,0.62,,10,student,0.995,0.995,Between,,0,0.02,,Y,2,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,,N,0,0,0,0,N,0,0,0,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,,,0,0,0,1,0,0,0,0,0,0,0,0,
11,1,2012,Y,3,,,,HRI '2012,10.1145/2157689.2157755,Sungkyunkwan University,37.587183,South Korea,32,10,Google Scholar citing W&B,1,Yes,Yes,,39,,,3.47,3.47,,,,,,,,,,,,,,,1,2,33,33,,,,,,,,2.58,1.81,1.62,1.07,1.17,0.48,3,student,< .05,<.05,Between,,emailed author,0.92,,Y,2,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,,N,0,0,0,0,N,0,0,0,N,1,1,1,Y,1,1,1,N,0,0,0,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
11,1,2012,Y,1,,,,HRI '2012,10.1145/2157689.2157755,Sungkyunkwan University,37.587183,South Korea,32,10,Google Scholar citing W&B,1,Yes,Yes,39,39,warm vs. neutral,,3.67,3.67,,,,,,,,,,,,,,,1,2,35,35,,,,,,,,2.64,,1.75,0.34,,0.48,10,student,<.05,<.05,Between,0,emailed author,0.91,,Y,2,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,,N,0,0,0,0,N,0,0,0,Y,1,1,1,Y,1,1,1,N,0,0,0,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
11,1,2012,Y,2,,,,HRI '2012,10.1145/2157689.2157755,Sungkyunkwan University,37.587183,South Korea,32,10,Google Scholar citing W&B,1,Yes,Yes,,39,,,3.97,3.97,,,,,,,,,,,,,,,1,2,34,34,,,,,,,,2.58,1.81,1.62,0.78,0.75,1.03,17,student,< .05,<.05,Between,,emailed author,0.97,,Y,2,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,,N,0,0,0,0,N,0,0,0,Y,1,1,1,Y,1,1,1,N,0,0,0,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
11,1,2012,Y,4,,,,HRI '2012,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,2013,Y,1,26,33,0,Social Psychology,10.1027/1864-9335/a000142,Abcoude (school),52.272071,Netherlands,21,38,Web of Science,1,Yes,No,59,59,interaction,,4.52,4.52,,,,,,,,,,,,,,,1,1,55,55,30,29,,,,,,,,,,,,15,special,0.038,0.038,Between,,MODERATION,0.57,,Y,2,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,,Y,1,0,0,0,N,0,0,0,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,1,0,0,N,0,1,1,N,0,0,0,N,1,"derived from Bartholomew & Horowitz, 1991",,0,0,0,0,0,0,0,0,0,0,0,0,
13,1,2015,Y,1,47,32,0,Social Psychological and Personality Science,10.1177/1948550614562843,"The University of Hong Kong, Pok Fu Lam",22.282241,China,39,1,Web of Science,1,Yes,Yes,79,79,took warm vs. cold,,7.1,7.1,,,,,,,,,,,,,,,1,1,76,76,26,26,,,,,,3.78,3.24,,0.77,0.78,,5,student,<.01,<.01,Between,,OMNIBUS,0.61,,Y,3,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,,N,0,0,0,0,N,0,0,0,Y,1,1,0,N,0,0,0,N,1,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
13,2,2015,Y,1,58,17,0,Social Psychological and Personality Science,10.1177/1948550614562843,"The University of Hong Kong, Pok Fu Lam",22.282241,China,39,1,Web of Science,1,Yes,No,75,75,interaction,,,,,,,0.34,2.14,2.14,,,,,,0.34,,,,,71,71,39,36,,,,,,,,,,,,5,student,< .04,<.04,Between,,MODERATION,0.5,,Y,2,Y,1,1,1,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,,Y,1,0,0,0,N,0,0,0,Y,1,1,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,0,0,N,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
